Season,Weekday ,Average_Duration,Day
Fall,0,1130.643833,Sunday
Fall,1,940.387633,Monday
Fall,2,1047.755973,Tuesday
Fall,3,1015.807823,Wednesday
Fall,4,1310.939569,Thursday
Fall,5,1586.109032,Friday
Fall,6,2039.574538,Saturday
Spring,0,1149.83871,Sunday
Spring,1,858.881988,Monday
Spring,2,862.933884,Tuesday
Spring,3,963.468951,Wednesday
Spring,4,1420.292398,Thursday
Spring,5,2326.747573,Friday
Spring,6,3888.697395,Saturday
Summer,0,1289.619673,Sunday
Summer,1,1117.152561,Monday
Summer,2,1162.435402,Tuesday
Summer,3,1131.628656,Wednesday
Summer,4,1442.863511,Thursday
Summer,5,1893.223997,Friday
Summer,6,2142.979943,Saturday
Winter,0,1215.98158,Sunday
Winter,1,1022.445302,Monday
Winter,2,1138.24853,Tuesday
Winter,3,1060.917122,Wednesday
Winter,4,1290.614606,Thursday
Winter,5,1566.271432,Friday
Winter,6,1928.380318,Saturday
