Ending_Station_ID,counts
3000.0,955
3005.0,6262
3006.0,2826
3007.0,1993
3008.0,2242
3009.0,68
3010.0,412
3011.0,1491
3014.0,5385
3016.0,1906
3018.0,1402
3019.0,2175
3020.0,604
3021.0,1490
3022.0,4337
3023.0,2495
3024.0,760
3025.0,713
3026.0,1212
3027.0,1861
3028.0,521
3029.0,1399
3030.0,4224
3031.0,5517
3032.0,2778
3033.0,778
3034.0,3032
3035.0,3513
3036.0,1424
3037.0,1427
3038.0,3194
3039.0,115
3040.0,737
3042.0,5293
3045.0,319
3046.0,1134
3047.0,1994
3048.0,3156
3049.0,2489
3051.0,1939
3052.0,1497
3053.0,12
3054.0,840
3055.0,2460
3056.0,1481
3057.0,399
3058.0,1944
3059.0,722
3060.0,389
3062.0,2204
3063.0,3763
3064.0,4605
3065.0,1016
3066.0,1203
3067.0,3481
3068.0,983
3069.0,5072
3074.0,2361
3075.0,2276
3076.0,1960
3077.0,811
3078.0,883
3079.0,717
3080.0,178
3081.0,644
3082.0,4703
4108.0,155
