Starting_Station_ID,counts
3000.0,29
3005.0,4883
3006.0,2708
3007.0,2785
3008.0,2156
3009.0,56
3010.0,427
3011.0,1257
3014.0,4571
3016.0,1953
3018.0,1211
3019.0,1910
3020.0,528
3021.0,1254
3022.0,3893
3023.0,1980
3024.0,1646
3025.0,626
3026.0,1562
3027.0,2557
3028.0,1179
3029.0,1902
3030.0,5059
3031.0,4629
3032.0,2466
3033.0,709
3034.0,3037
3035.0,3406
3036.0,1153
3037.0,1174
3038.0,3306
3039.0,115
3040.0,1023
3042.0,4015
3045.0,187
3046.0,1348
3047.0,2230
3048.0,3005
3049.0,3154
3051.0,2062
3052.0,2253
3053.0,13
3054.0,865
3055.0,3270
3056.0,1461
3057.0,380
3058.0,1808
3059.0,742
3060.0,383
3062.0,2325
3063.0,2949
3064.0,4661
3065.0,992
3066.0,1425
3067.0,3797
3068.0,3252
3069.0,5138
3074.0,2341
3075.0,2125
3076.0,1903
3077.0,802
3078.0,879
3079.0,693
3080.0,191
3081.0,593
3082.0,3908
4108.0,108
